player,map,kills,deaths,damage,objMainStat,kdRatio
Skyz,Rio,25,23,5773,58,1.0869565217391304
Skyz,Skidrow,14,17,3142,61,0.8235294117647058
Skyz,Sub Base,32,40,6461,134,0.8
Skyz,Terminal,17,11,3502,5,1.5454545454545454
SlasheR,Invasion,17,22,3911,4,0.7727272727272727
SlasheR,Karachi,27,17,5063,58,1.588235294117647
SlasheR,Skidrow,15,17,3503,41,0.8823529411764706
SlasheR,Sub Base,19,23,4034,38,0.8260869565217391
SlasheR,Terminal,17,11,3973,6,1.5454545454545454
Snoopy,Invasion,28,31,5440,5,0.9032258064516129
Snoopy,Karachi,21,18,4039,117,1.1666666666666667
Snoopy,Skidrow,20,14,3073,100,1.4285714285714286
Snoopy,Sub Base,22,26,4228,62,0.8461538461538461
Snoopy,Terminal,10,12,2519,0,0.8333333333333334
TJHaly,Highrise,6,7,1440,1,0.8571428571428571
TJHaly,Invasion,26,27,4800,11,0.9629629629629629
TJHaly,Karachi,15,27,3136,2,0.5555555555555556
Vikul,Highrise,6,7,1514,1,0.8571428571428571
Vikul,Invasion,20,23,4258,51,0.8695652173913043
Vikul,Karachi,38,35,6619,9,1.0857142857142856
Vikul,Rio,32,28,6034,102,1.1428571428571428
Vivid,Highrise,8,8,2151,1,1.0
Vivid,Karachi,23,25,4477,2,0.92
Vivid,Rio,26,28,4931,36,0.9285714285714286
aBeZy,Highrise,34,32,6105,3,1.0625
aBeZy,Invasion,25,35,5305,87,0.7142857142857143
aBeZy,Sub Base,13,23,2916,37,0.5652173913043478
